record_id,title,year,first_author_lastname,_matched_block,openalex_concepts
OpenAlex:W7133520867,Safety Assessment Based on Sosiho-tang Genotoxicity Test and Drug-Metabolizing Enzymes,2026,Shin,B1_direct,"['Genotoxicity' 'Micronucleus' 'Micronucleus test' 'Ames test' 'Enzyme'
 'Chromosome aberration' 'Chinese hamster' 'Biology' 'Molecular biology'
 'Pharmacology' 'Genetics' 'Biochemistry' 'Hamster' 'Cytochrome P450'
 'Enzyme assay' 'Chemistry' 'Mutation' 'DNA damage' 'Gene mutation'
 'Toxicity' 'Drug' 'DNA' 'Toxicology']"
OpenAlex:W7143427599,Bridging Traditional Medicine with Modern Technology: “Omics”-guided Herbal Pharmacovigilance for Integrative Liver Health,2026,Singh,B1_direct,"['Pharmacovigilance' 'Medicine' 'Bridging (networking)'
 'Alternative medicine' 'Traditional medicine' 'Family medicine' 'MEDLINE'
 'Folk medicine' 'Health professionals' 'Public health' 'Health care'
 'Intensive care medicine']"
OpenAlex:W7155215209,Complementary Medicine in Oncology: A Dual-Perspective Examination of Patient Use and Clinician Attitudes,2026,Albayeh,B1_direct,"['Medicine' 'Modalities' 'Alternative medicine' 'Observational study'
 'Family medicine' 'Complementary medicine' 'MEDLINE' 'Breast cancer'
 'Cancer' 'Integrative medicine' 'Cancer treatment' 'Quality (philosophy)'
 'Evidence-based medicine' 'Systematic review' 'Clinical Oncology'
 'Clinical trial' 'Patient care' 'Patient assessment'
 'Patient participation' 'Clinical Practice' 'Treatment modality'
 'Cancer prevention' 'Patient safety' 'Conventional medicine']"
OpenAlex:W7135151547,Therapeutic Insights into Pain Management: Role of Phytoceuticals in Integrative Medicine,2026,Mehta,B1_direct,"['Medicine' 'Adverse effect' 'Integrative medicine'
 'Intensive care medicine' 'Analgesic' 'Feeling' 'Chronic pain'
 'Pain management' 'Pain relief' 'Bioinformatics' 'Alternative medicine'
 'Standardization' 'Pain control' 'Side effect (computer science)'
 'Function (biology)' 'MEDLINE' 'Pharmacology' 'Cyclooxygenase'
 'Nociception' 'Review article' 'Therapeutic approach'
 'Mechanism (biology)']"
OpenAlex:W7125801383,HDI Corpus: A Dataset for Named Entity Recognition for In-Context Herb-Drug Interactions,2026,Cnudde,B1_direct,"['Computer science' 'Named-entity recognition' 'Artificial intelligence'
 'Annotation' 'Natural language processing' 'Task (project management)'
 'Field (mathematics)' 'Deep learning' 'Entity linking' 'Named entity'
 'Machine learning' 'Natural language' 'Generative grammar'
 'Generative model' 'Structured prediction' 'Language model'
 'Information retrieval' 'Training set' 'Construct (python library)'
 'Topic model' 'F1 score' 'Conditional random field' 'Labeled data'
 'Natural language understanding' 'Context (archaeology)'
 'Sequence labeling']"
OpenAlex:W7160609053,"Synergistic antibacterial effects of berberine, baicalin, and plumbagin against carbapenem-resistant Acinetobacter baumannii: Mechanistic exploration",2026,Yongyu,B2_tcm_interaction,"['Baicalin' 'Plumbagin' 'Checkerboard' 'Berberine' 'Biofilm'
 'Microbiology' 'Minimum inhibitory concentration' 'Chemistry' 'IC50'
 'Broth microdilution' 'Antimicrobial' 'Crystal violet' 'Biology'
 'Docking (animal)' 'Antibacterial agent' 'Antibacterial activity'
 'In vitro' 'Pharmacology' 'Growth inhibition' 'Pathogen' 'Biochemistry'
 'Bacteria']"
OpenAlex:W7124729424,Editorial: The role of gut microbiome metabolites in cardiometabolic disorders,2026,Szudzik,B3_tcm_cyp,"['Microbiome' 'Dysbiosis' 'Gut flora' 'Biology' 'Disease' 'Gut microbiome'
 'Bioinformatics' 'Metabolomics' 'Metabolic syndrome' 'Energy homeostasis'
 'Metabolic pathway' 'Inflammatory bowel disease' 'Dyslipidemia'
 'Gut–brain axis' 'Homeostasis' 'Glucose homeostasis'
 'Computational biology' 'Lipid metabolism' 'Systems biology' 'Medicine'
 'Immunology' 'Coronary heart disease' 'Bile acid' 'Insulin resistance'
 'Oxidative phosphorylation' 'Diabetes mellitus' 'Human health'
 'Physiology' 'Metabolome' 'Human microbiome' 'Heart disease'
 'Metabolic disease' 'Type 2 Diabetes Mellitus' 'Inflammation']"
OpenAlex:W7119533107,Integrating traditional and herbal medicine into heatwave resilience and care,2026,Manoj,B1_direct,"['Heat stress' 'Medicine' 'Psychological resilience'
 'Resilience (materials science)' 'Heat wave' 'Extreme heat'
 'Depression (economics)' 'Standardization' 'Environmental health'
 'Alternative medicine' 'Health care' 'Excess heat' 'Heat illness'
 'Stress relief' 'MEDLINE' 'Business' 'Traditional medicine'
 'Health economics' 'Climate change' 'Older people' 'Public health']"
OpenAlex:W7119127433,Editorial: Combination therapies in cancer treatment: enhancing efficacy and reducing resistance,2026,Wang,B3_tcm_cyp,"['Medicine' 'Doxorubicin' 'Cancer research' 'Immunotherapy'
 'Tyrosine kinase' 'Cancer' 'Interferon' 'Tumor microenvironment'
 'Sorafenib' 'Sarcoma' 'Adverse effect' 'Lung cancer' 'Kinome'
 'Immune system' 'Effector' 'Tyrosine-kinase inhibitor' 'Sunitinib'
 'Pharmacology' 'Cytotoxicity' 'Immunology' 'Oncology' 'Regorafenib'
 'Chemoimmunotherapy' 'Antibody' 'Nivolumab' 'Hepatitis B' 'Kinase'
 'Clinical trial' 'Internal medicine' 'Cirrhosis' 'Alpha interferon'
 'Side effect (computer science)' 'Chemotherapy' 'Drug'
 'Combination therapy' 'Cytokine']"
OpenAlex:W7134901577,"Editorial: Novel anti-cancer agents targeting tumour metastasis and stemness, volume II",2026,Wang,B3_tcm_cyp,"['Metastasis' 'Cancer research' 'Medicine' 'Volume (thermodynamics)'
 'Cancer' 'Chemistry' 'Cancer cell' 'Pathology' 'Cytotoxicity' 'Biology']"
OpenAlex:W7127041978,Editorial: Prevention and treatment of metabolic diseases using bioactive metabolites of herbal medicines also used as foods,2026,Wei,B2_tcm_interaction,"['Medicine' 'Liver cancer' 'Liver disease' 'Disease' 'Cancer' 'Drug'
 'Chronic liver disease' 'Pharmacology' 'Drug resistance' 'Immunotherapy'
 'Liver cell' 'Traditional Chinese medicine' 'Drug metabolism'
 'Immunology' 'Combination therapy' 'Bioinformatics' 'Liver fibrosis'
 'Fatty liver' 'Pharmacotherapy']"
OpenAlex:W7126427554,Levamisole Potentiation via Thymol and Cinnamaldehyde: Assessment of Pharmacological Interactions in Sheep,2026,Miró,B0_none,"['Levamisole' 'Pharmacology' 'Anthelmintic' 'Ex vivo' 'Thymol' 'In vivo'
 'Pharmacokinetics' 'Teladorsagia circumcincta' 'Efflux' 'Bioavailability'
 'Drug' 'Biology' 'Cmax' 'Drug resistance' 'Chemistry'
 'Necator americanus' 'Pharmacodynamics' 'Ussing chamber' 'Niclosamide'
 'Potency' 'Whole blood' 'In vitro' 'Rhodamine 123' 'Biological activity'
 'Efavirenz' 'Medicine']"
OpenAlex:W7160487893,Preclinical Pharmacological Actions of Alpinetin and Pinocembrin—A Comparative Review,2026,Chen,B3_tcm_cyp,"['Pinocembrin' 'Pharmacology' 'Medicine' 'Pharmacokinetics'
 'Cytochrome P450' 'Paeoniflorin' 'Glucuronidation' 'Bioinformatics'
 'Chemistry' 'Traditional medicine']"
OpenAlex:W7154596809,From herbs to molecules: Ayurvedic phytoconstituents in modern cancer therapeutics,2026,Gangurde,B1_direct,"['Medicine' 'Narrative review' 'Cancer' 'Traditional medicine'
 'Clinical trial' 'Phytochemistry' 'Review article' 'Pharmacology'
 'Quality of life (healthcare)' 'Alternative medicine' 'Immune system'
 'Cancer treatment' 'Observational study' 'Broad spectrum'
 'Mechanism (biology)' 'Drug' 'Immune modulation']"
OpenAlex:W7154575257,Ayurveda-based supportive management in parotid malignancy with facial nerve palsy,2026,Tiwari,B0_none,"['Medicine' 'Facial nerve' 'Mucoepidermoid carcinoma' 'Facial paralysis'
 'Surgery' 'Parotid gland' 'Malignancy' 'Facial weakness' 'Palsy'
 'Perineural invasion' 'Parotidectomy' 'Drooling' 'Weakness'
 'Supportive psychotherapy' 'Disfigurement' 'Histopathology' 'Mucositis'
 'Cranial nerve disease' 'Adverse effect' 'Multimodal therapy'
 'Presentation (obstetrics)' 'Radiation therapy' 'Otorhinolaryngology']"
OpenAlex:W7118759693,NATURAL HERBAL AGENTS IN THE REGULATION OF BLOOD GLUCOSE: SCREENING ASSAYS AND THEIR DIVERSE PHARMACOLOGICAL ACTIONS,2026,Kushwaha1,B1_direct,"['Medicine' 'Traditional medicine' 'Pharmacology' 'Glycemic' 'Drug'
 'Alternative medicine' 'Intensive care medicine' 'Moringa'
 'Natural medicine' 'Clinical trial' 'Medicinal plants'
 'Diabetes mellitus' 'Drug discovery' 'Phytotherapy' 'Drug development'
 'Gymnema sylvestre' 'Bioinformatics' 'Preclinical research'
 'Safety profile']"
OpenAlex:W7118975473,NATURAL HERBAL AGENTS IN THE REGULATION OF BLOOD GLUCOSE: SCREENING ASSAYS AND THEIR DIVERSE PHARMACOLOGICAL ACTIONS,2026,Kushwaha1,B1_direct,"['Medicine' 'Traditional medicine' 'Pharmacology' 'Glycemic' 'Drug'
 'Alternative medicine' 'Intensive care medicine' 'Moringa'
 'Natural medicine' 'Clinical trial' 'Medicinal plants'
 'Diabetes mellitus' 'Drug discovery' 'Phytotherapy' 'Drug development'
 'Gymnema sylvestre' 'Bioinformatics' 'Preclinical research'
 'Safety profile']"
OpenAlex:W7118729062,EXPLORING THE ROLE OF HERBAL DRUGS IN NON-COMMUNICABLE DISEASE MANAGEMENT: FROM TRADITION TO CLINICAL TRIALS,2026,Monika,B1_direct,"['Medicine' 'Clinical trial' 'Intensive care medicine'
 'Alternative medicine' 'Disease' 'Traditional medicine' 'Drug'
 'Neuroprotection' 'Pharmacology' 'Quality of life (healthcare)' 'MEDLINE'
 'Phytotherapy' 'Complementary therapy' 'Quality (philosophy)'
 'Clinical research' 'Systematic review' 'Pharmacotherapy'
 'Randomized controlled trial' 'Curcuma']"
OpenAlex:W7119024729,EXPLORING THE ROLE OF HERBAL DRUGS IN NON-COMMUNICABLE DISEASE MANAGEMENT: FROM TRADITION TO CLINICAL TRIALS,2026,Monika,B1_direct,"['Medicine' 'Clinical trial' 'Intensive care medicine'
 'Alternative medicine' 'Disease' 'Traditional medicine' 'Drug'
 'Neuroprotection' 'Pharmacology' 'Quality of life (healthcare)' 'MEDLINE'
 'Phytotherapy' 'Complementary therapy' 'Quality (philosophy)'
 'Clinical research' 'Systematic review' 'Pharmacotherapy'
 'Randomized controlled trial' 'Curcuma']"
OpenAlex:W7124316873,ZEBRAFISH AS A MODEL FOR HERBAL TOXICOLOGY: A SCIENTIFIC REVIEW ON ASHWAGANDHA (WITHANIA SOMNIFERA) AND ITS SAFETY PROFILE,2026,Murali*,B0_none,"['Zebrafish' 'Pharmacology' 'Medicine' 'Neuroprotection' 'Bioinformatics'
 'Animal testing' 'Biology' 'Drug discovery' 'Drug' 'Clinical trial'
 'Safety profile' 'Animal model' 'Computational biology'
 'Drug development' 'Risk analysis (engineering)' 'Dosing' 'Approved drug'
 'Translational research' 'Drug candidate' 'Model organism' 'Neuroscience'
 'Non-human' 'Genetic model' 'Cardiotoxicity' 'Traditional medicine']"
OpenAlex:W7124305256,ZEBRAFISH AS A MODEL FOR HERBAL TOXICOLOGY: A SCIENTIFIC REVIEW ON ASHWAGANDHA (WITHANIA SOMNIFERA) AND ITS SAFETY PROFILE,2026,Murali*,B0_none,"['Zebrafish' 'Pharmacology' 'Medicine' 'Neuroprotection' 'Bioinformatics'
 'Animal testing' 'Biology' 'Drug discovery' 'Drug' 'Clinical trial'
 'Safety profile' 'Animal model' 'Computational biology'
 'Drug development' 'Risk analysis (engineering)' 'Dosing' 'Approved drug'
 'Translational research' 'Drug candidate' 'Model organism' 'Neuroscience'
 'Non-human' 'Genetic model' 'Cardiotoxicity' 'Traditional medicine']"
OpenAlex:W7124701772,Traditional Medicine in Palliative Care: An Ayurvedic Review,2026,Behra,B0_none,"['Medicine' 'Palliative care' 'Alternative medicine'
 'Quality of life (healthcare)' 'Indigenous' 'Nursing' 'Holistic health'
 'Disease' 'Psychotherapist' 'Integrative medicine' 'Medical ethics'
 'Quality (philosophy)' 'Ayurvedic medicine' 'Medical care'
 'Traditional medicine' 'Modern medicine' 'Family medicine'
 'Therapeutic relationship' 'Traditional knowledge' 'MEDLINE']"
OpenAlex:W7124757956,Traditional Medicine in Palliative Care: An Ayurvedic Review,2026,Behra,B0_none,"['Medicine' 'Palliative care' 'Alternative medicine'
 'Quality of life (healthcare)' 'Indigenous' 'Nursing' 'Holistic health'
 'Disease' 'Psychotherapist' 'Integrative medicine' 'Medical ethics'
 'Quality (philosophy)' 'Ayurvedic medicine' 'Medical care'
 'Traditional medicine' 'Modern medicine' 'Family medicine'
 'Therapeutic relationship' 'Traditional knowledge' 'MEDLINE']"
OpenAlex:W7126186422,NATURAL PLANTS FOR IMMUNE SYSTEM ENHANCEMENT,2026,Tolsarwad,B1_direct,"['Immune system' 'Innate immune system' 'Drug' 'Medicine'
 'Acquired immune system' 'Immunity' 'Immunology' 'Biology'
 'Traditional medicine' 'Natural medicine' 'Pharmacology' 'Cytokine'
 'Drug delivery' 'Biotechnology' 'Human use' 'Drug discovery'
 'Chinese herbs' 'Drug development' 'Natural (archaeology)'
 'Bioavailability' 'Medicinal plants' 'Computational biology'
 'Safety profile' 'Human studies' 'Herbal extracts' 'Antioxidant'
 'Targeted drug delivery' 'Food and drug administration']"
OpenAlex:W7126208008,NATURAL PLANTS FOR IMMUNE SYSTEM ENHANCEMENT,2026,Tolsarwad,B1_direct,"['Immune system' 'Innate immune system' 'Drug' 'Medicine'
 'Acquired immune system' 'Immunity' 'Immunology' 'Biology'
 'Traditional medicine' 'Natural medicine' 'Pharmacology' 'Cytokine'
 'Drug delivery' 'Biotechnology' 'Human use' 'Drug discovery'
 'Chinese herbs' 'Drug development' 'Natural (archaeology)'
 'Bioavailability' 'Medicinal plants' 'Computational biology'
 'Safety profile' 'Human studies' 'Herbal extracts' 'Antioxidant'
 'Targeted drug delivery' 'Food and drug administration']"
OpenAlex:W7133694969,"ROLE OF HERBAL MEDICINE IN MODERN HEALTH CARE: EMPHASIS ON CHRONIC DISEASES, ANTIMICROBIAL ACTIVITY, AND IMMUNOMODULATION",2026,Gupta4,B2_tcm_interaction,"['Medicine' 'Antimicrobial' 'Phytomedicine' 'Intensive care medicine'
 'Immune system' 'Traditional medicine' 'Pharmacology'
 'Traditional Chinese medicine' 'Modern medicine' 'Disease'
 'Ethnomedicine' 'Immunology' 'Mechanism (biology)'
 'Antibiotic resistance' 'Global health' 'Drug' 'Pharmacovigilance'
 'Harmonization' 'Infectious disease (medical specialty)'
 'Medicinal plants' 'Biotechnology']"
OpenAlex:W7133914292,"ROLE OF HERBAL MEDICINE IN MODERN HEALTH CARE: EMPHASIS ON CHRONIC DISEASES, ANTIMICROBIAL ACTIVITY, AND IMMUNOMODULATION",2026,Gupta4,B2_tcm_interaction,"['Medicine' 'Antimicrobial' 'Phytomedicine' 'Intensive care medicine'
 'Immune system' 'Traditional medicine' 'Pharmacology'
 'Traditional Chinese medicine' 'Modern medicine' 'Disease'
 'Ethnomedicine' 'Immunology' 'Mechanism (biology)'
 'Antibiotic resistance' 'Global health' 'Drug' 'Pharmacovigilance'
 'Harmonization' 'Infectious disease (medical specialty)'
 'Medicinal plants' 'Biotechnology']"
OpenAlex:W7140305048,A COMPREHENSIVE GLOBAL REVIEW OF RENAL TOXICITY ASSOCIATED WITH HERBAL AND ALTERNATIVE MEDICINES,2026,Okeke,B1_direct,"['Medicine' 'Aristolochia' 'Pharmacovigilance' 'Intensive care medicine'
 'Traditional medicine' 'Alternative medicine' 'Nephrotoxicity'
 'Systematic review' 'Public health' 'Kidney disease' 'Disease'
 'Pharmacology' 'Aristolochic acid' 'Biosafety' 'Harmonization'
 'Acute kidney injury' 'Drug' 'Health care' 'Rhabdomyolysis']"
OpenAlex:W7140289780,A COMPREHENSIVE GLOBAL REVIEW OF RENAL TOXICITY ASSOCIATED WITH HERBAL AND ALTERNATIVE MEDICINES,2026,Okeke,B1_direct,"['Medicine' 'Aristolochia' 'Pharmacovigilance' 'Intensive care medicine'
 'Traditional medicine' 'Alternative medicine' 'Nephrotoxicity'
 'Systematic review' 'Public health' 'Kidney disease' 'Disease'
 'Pharmacology' 'Aristolochic acid' 'Biosafety' 'Harmonization'
 'Acute kidney injury' 'Drug' 'Health care' 'Rhabdomyolysis']"
OpenAlex:W7143334511,"Utilization of Herbal Medicines for Disease Management in Rural Communities of Greater Noida: Pharmaceutical Standardization, Safety Evaluation, and Integrative Healthcare Perspectives",2026,Neha,B0_none,"['Medicine' 'Alternative medicine' 'Health care' 'Traditional medicine'
 'Family medicine' 'Medical prescription' 'Pharmaceutical industry'
 'Public health' 'Descriptive statistics' 'Disease' 'Quality (philosophy)'
 'Descriptive research' 'Pharmaceutical care' 'Environmental health'
 'Rural area' 'Disease management' 'Adverse effect' 'Community health'
 'Asset (computer security)' 'Nursing' 'Primary health care' 'Drug'
 'Pharmacology' 'Health management system']"
OpenAlex:W7143422202,"Utilization of Herbal Medicines for Disease Management in Rural Communities of Greater Noida: Pharmaceutical Standardization, Safety Evaluation, and Integrative Healthcare Perspectives",2026,Neha,B0_none,"['Medicine' 'Alternative medicine' 'Health care' 'Traditional medicine'
 'Family medicine' 'Medical prescription' 'Pharmaceutical industry'
 'Public health' 'Descriptive statistics' 'Disease' 'Quality (philosophy)'
 'Descriptive research' 'Pharmaceutical care' 'Environmental health'
 'Rural area' 'Disease management' 'Adverse effect' 'Community health'
 'Asset (computer security)' 'Nursing' 'Primary health care' 'Drug'
 'Pharmacology' 'Health management system']"
OpenAlex:W7149387842,"NIGELLA SATIVA IN MODERN HEALTHCARE: PHARMACOLOGY, SAFETY, AND INTERACTION WITH CONVENTIONAL DRUGS",2026,Gnanamoorthi1,B0_none,"['Nigella sativa' 'Medicine' 'Thymoquinone' 'Traditional medicine'
 'Phytochemical' 'Drug' 'Pharmacology' 'Adverse effect' 'Medicinal plants'
 'Consumer safety' 'Siddha' 'Alternative medicine']"
OpenAlex:W7149649818,"NIGELLA SATIVA IN MODERN HEALTHCARE: PHARMACOLOGY, SAFETY, AND INTERACTION WITH CONVENTIONAL DRUGS",2026,Gnanamoorthi1,B0_none,"['Nigella sativa' 'Medicine' 'Thymoquinone' 'Traditional medicine'
 'Phytochemical' 'Drug' 'Pharmacology' 'Adverse effect' 'Medicinal plants'
 'Consumer safety' 'Siddha' 'Alternative medicine']"
OpenAlex:W7149652624,"""A COMPUTATIONAL FRAMEWORK FOR MODERN HERBAL DRUG DEVELOPMENT"": ARTIFICIAL INTELLIGENCE – DRIVEN PHARMACOVIGILANCE",2026,S.3,B0_none,"['Pharmacovigilance' 'Medicine' 'Identification (biology)'
 'Risk analysis (engineering)' 'Drug reaction' 'Adverse effect'
 'Data science' 'Patient safety' 'Computer science' 'Drug'
 'Adverse drug reaction' 'Globe' 'Health care' 'Emerging technologies'
 'Artificial intelligence' 'Component (thermodynamics)']"
OpenAlex:W7149367610,"""A COMPUTATIONAL FRAMEWORK FOR MODERN HERBAL DRUG DEVELOPMENT"": ARTIFICIAL INTELLIGENCE – DRIVEN PHARMACOVIGILANCE",2026,S.3,B0_none,"['Pharmacovigilance' 'Medicine' 'Identification (biology)'
 'Risk analysis (engineering)' 'Drug reaction' 'Adverse effect'
 'Data science' 'Patient safety' 'Computer science' 'Drug'
 'Adverse drug reaction' 'Globe' 'Health care' 'Emerging technologies'
 'Artificial intelligence' 'Component (thermodynamics)']"
OpenAlex:W7153769754,TRANSLATIONAL SUPPORT & PREVENTIVE PROTOCOLS: bridging Ayurvedic Energetics with Modern Molecular Pathophysiology (Handbook 2),2026,Luongo,B1_direct,"['Medicine' 'Translational medicine' 'Bioinformatics'
 'Translational research' 'Disease' 'Modern medicine' 'Engineering ethics'
 'Psychological intervention' 'Precision medicine' 'Notice'
 'Personalized medicine' 'Drug development' 'Intensive care medicine'
 'Systems biology' 'Neuroscience' 'Bridging (networking)'
 'Computational biology' 'Health care' 'Translational science'
 'Scope (computer science)' 'Clinical trial' 'Context (archaeology)'
 'Pharmacology' 'Integrative medicine' 'Review article']"
OpenAlex:W7153742824,TRANSLATIONAL SUPPORT & PREVENTIVE PROTOCOLS: bridging Ayurvedic Energetics with Modern Molecular Pathophysiology (Handbook 2),2026,Luongo,B1_direct,"['Medicine' 'Translational medicine' 'Bioinformatics'
 'Translational research' 'Disease' 'Modern medicine' 'Engineering ethics'
 'Psychological intervention' 'Precision medicine' 'Notice'
 'Personalized medicine' 'Drug development' 'Intensive care medicine'
 'Systems biology' 'Neuroscience' 'Bridging (networking)'
 'Computational biology' 'Health care' 'Translational science'
 'Scope (computer science)' 'Clinical trial' 'Context (archaeology)'
 'Pharmacology' 'Integrative medicine' 'Review article']"
OpenAlex:W7155536501,STRESS AND ANXIETY AND THE USE OF HERBAL REMEDIES: EVALUATION OF KNOWLEDGE AND PERCEPTIONS,2026,Tellawi,B0_none,"['Anxiety' 'Medicine' 'Perception' 'Descriptive statistics'
 'Alternative medicine' 'Quality of life (healthcare)' 'Mental health'
 'Clinical psychology' 'MEDLINE' 'Health care' 'Quality (philosophy)'
 'Psychiatry' 'Disease' 'Stress management' 'Traditional medicine'
 'Affect (linguistics)' 'Descriptive research' 'Psychology']"
OpenAlex:W7155568490,STRESS AND ANXIETY AND THE USE OF HERBAL REMEDIES: EVALUATION OF KNOWLEDGE AND PERCEPTIONS,2026,Tellawi,B0_none,"['Anxiety' 'Medicine' 'Perception' 'Descriptive statistics'
 'Alternative medicine' 'Quality of life (healthcare)' 'Mental health'
 'Clinical psychology' 'MEDLINE' 'Health care' 'Quality (philosophy)'
 'Psychiatry' 'Disease' 'Stress management' 'Traditional medicine'
 'Affect (linguistics)' 'Descriptive research' 'Psychology']"
OpenAlex:W7155509395,Herbal remedies for depression and anxiety,2026,Kumar,B1_direct,"['Medicine' 'Adverse effect' 'Hypericum perforatum'
 'Depression (economics)' 'Medicinal plants' 'Traditional medicine'
 'Clinical trial' 'Antidepressant' 'Anxiety' 'Psychiatry' 'Phytotherapy'
 'Bacopa monnieri' 'Alternative medicine' 'Disease' 'Hypericum'
 'Phytochemical' 'Drug' 'Safety profile' 'Withania somnifera'
 'Standardization' 'Intensive care medicine' 'Kava' 'Salvia officinalis'
 'Melissa officinalis' 'Pharmacology' 'Quality of life (healthcare)'
 'Traditional Chinese medicine' 'Nutraceutical']"
OpenAlex:W7132843114,Recent Developments in Antioxidant and Anti-inflammatory Activities of Herbal Extracts: A Review,2026,Mohapatra,B0_none,"['Phytochemical' 'Nutraceutical' 'Antioxidant' 'Oxidative stress'
 'Traditional medicine' 'Bioavailability' 'Pharmacology' 'In vivo'
 'Chemistry' 'Medicine' 'Cytokine' 'In vitro toxicology'
 'Lipid peroxidation' 'Oxidative damage' 'Inflammation' 'In vitro'
 'Medicinal plants' 'Biotechnology' 'Functional food' 'Human studies'
 'Biology' 'Anti-inflammatory']"
